ID,Title,Pillar,Marker,Priority,Effort,Status,Where shown,Current state,Build outline,Notes
F-011,Phase-based advice rotation,Periodka,FEATURE-NEEDED-PERIODKA-ADVICE,P1,S,✅ Done 2026-04-27,"Periodka ""Ako sa môžeš cítiť ešte lepšie""",Wired via usePhaseAdvice. New phase_advice table seeded with 12 rows.,"Server reads filtered by currentPhase.key; pillar key (telo/strava/mysel) maps to label/color/img inline.",Admin: Gabi can edit per-phase copy in Supabase Studio
F-012,Cross-pillar cycle nudges,Periodka,(BC-2; no marker),P1,M,⏳ Not started,"Cyklus log success; Domov body/nutrition/mindset adapt",Phase displays everywhere but no cross-pillar context-aware suggestions,"cycleNudgeRouter(phase,energy) returning tuples for Telo/Strava/Myseľ; Domov cards consume; R11 success surfaces ""Vyskúšaj…"" CTAs",Design's signature cross-pillar moment
F-013,First-started-at on subscriptions,Settings,FEATURE-NEEDED-SETTINGS-STARTED-AT,P1,S,⏳ Not started,"Settings hub ""Plus · od mesiac rok""",Derived from current_period_start which resets on renewal,"Add subscriptions.first_started_at; webhook on first customer.subscription.created writes once; expose in SubscriptionContext",Visible drift after first renewal
F-014,Payment-method surfacing,Profil,FEATURE-NEEDED-PROFIL-PAYMENT-METHOD,P1,S,⏳ Not started,Profil subscription card,Card brand + last4 stripped because not in SubscriptionData,"Netlify fn /get-payment-method querying Stripe customer.payment_methods; add paymentMethod to context; render ""Visa · 4242""",Trust signal for paying users
F-015,Referral 30-day qualification,Profil,(BC-3; no marker),P1,M,⏳ Not started,"Referral page footnote; pending vs approved counts",Footnote in place; useReferral exposes pendingReferrals but no scheduled credit,"Supabase pg_cron or edge function daily; for each referral with created_at+30d<now AND status=pending call approveReferral",Anti-churn-farming guard
F-016,Auto-reply badge on Gabi thread,Spravy,FEATURE-NEEDED-SPRAVY-AUTO-REPLY-BADGE,P1,S,⏳ Not started,"First message in Gabi thread — ""Automatická odpoveď"" pill",No auto-reply service,"messages.is_auto_reply boolean; on user-first-message server creates paired auto-reply with flag; thread renders badge",Sets user expectations on response time
F-017,Points ledger,Points,FEATURE-NEEDED-POINTS-LEDGER,P1,M,✅ Done 2026-04-27,"PointsSummary recent activity; balance source for all earn rules",Wired. New points_ledger table + usePointsLedger hook.,"Append-only table (event_type,points,ref_id,ref_type); balance=SUM. Backfilled from referrals (gross — NOT user_credits, audit-corrected to avoid double-counting on later redemptions). 100 points per approved referral.","Foundation. Note: redesign UI was previously rendering EUR cents from useReferral; now reads from real point count."
F-018,Points milestone rule engine,Points,FEATURE-NEEDED-POINTS-MILESTONE,P1,S,✅ Done 2026-04-27,PointsSummary next-reward card,Wired via useNextMilestone. Seeded 5 thresholds (80/100/150/250/500).,"Server reads point_milestones ordered by sort_order; client picks first threshold above balance.",Was hardcoded 500/jedalniček; now data-driven
F-019,Badge issuance service,Points,FEATURE-NEEDED-POINTS-BADGES,P1,M,🟡 Schema only,PointsSummary badges row,"Schema + 5 seed badges + useUserBadges hook done. Issuance triggers/cron NOT implemented (FEATURE-NEEDED-POINTS-BADGE-ISSUANCE marker added).","Tables badges + user_badges; cron or trigger checks milestones (first post, 7-day streak, first month, 50 comments, year)",Visual UI now reads real user_badges; awards still need backend work
F-020,Rewards catalog,Points,FEATURE-NEEDED-REWARDS-CATALOG,P1,M,✅ Done 2026-04-27,PointsRewards list,Wired via direct supabase fetch in PointsRewards. Seeded 5 rewards.,"rewards table (slug, point_cost, stripe_coupon_id null, image_key, color_token, max_redemptions_per_user, active)","Schema ready for F-021"
F-021,Rewards redemption flow,Points,FEATURE-NEEDED-REWARDS-REDEEM,P1,M,⏳ Not started,"PointsRewards ""Získať"" CTA",CTA static; nothing debits balance,"Edge fn redeem(rewardId): debit points_ledger (negative entry), attach Stripe Promotion Code to customer, surface success toast. Transactional safety (insert ledger row first then attach coupon).",Stripe-flavored — stays on main
F-022,Workout completion points award,Telo,FEATURE-NEEDED-COMPLETION-POINTS,P1,S,✅ Done 2026-04-27,Completion screens points readout,Wired. CompletionWorkout awards 10; CompletionProgram awards 50. Idempotent on ref_id+ref_type.,"On mount → usePointsLedger.addEntry — re-mount cannot double-credit thanks to ledger lookup before insert.",Replaces +12/+50 hardcoded
F-023,Program completion badge,Telo,FEATURE-NEEDED-COMPLETION-PROGRAM-BADGE,P1,S,⏳ Not started,Program completion screen badge issuance,Visual badge but no real grant,"Insert user_badges row on program completion; badge metadata in F-019 catalog",Depends on F-019
F-024,Next-program recommendation,Telo,FEATURE-NEEDED-COMPLETION-NEXT-PROGRAM,P1,S,⏳ Not started,Program completion screen ""Pokračuj"" card,Hardcoded next program suggestion,Recommendation rule: derive from completed program tags; admin override per program,Low-stakes; static is acceptable initially
F-025,Blog CMS,Blog,FEATURE-NEEDED-BLOG-CMS,P1,M,🟡 Schema+hook only,"Blog list and BlogArticle",Schema (existing 20260416_blog_posts) + useBlog hooks ready. Pages still render hardcoded ARTICLES.,"Add react-markdown for body_md; map blog_posts.category to existing CAT_COLOR keys; extend schema with author_role + author_image",One-line cutover once Gabi authors real entries
F-026,Mindset audio player,Mysel,FEATURE-NEEDED-MYSEL-AUDIO-PLAYER,P1,M,⏳ Not started,Meditation player screen,Fake waveform + no real audio playback,"HTML5 audio element with scrub bar; track progress for completion event; Vimeo audio URL or Supabase Storage bucket","Depends on F-001 for content (now done)"
F-027,Mindset ambient mix,Mysel,FEATURE-NEEDED-MYSEL-AMBIENT-MIX,P2,M,⏳ Not started,"Mysel ambient sound mixer",Static UI; tracks don't play,"Multiple <audio> tracks with per-track volume; preset combinations; storage bucket",Nice-to-have
F-028,Settings notifications persist,Settings,FEATURE-NEEDED-SETTINGS-NOTIFICATIONS-PERSIST,P1,S,✅ Done 2026-04-27,Settings → Notifications toggles,Wired. profiles.notification_prefs jsonb stores per-key toggles + __master.,"Hydrates from profile on mount; persists on every flip via updateProfile.",Auto-saves; no separate Save button
F-029,Settings privacy persist,Settings,FEATURE-NEEDED-SETTINGS-PRIVACY-PERSIST,P1,S,✅ Done 2026-04-27,Settings → Privacy toggles,Wired. profiles.privacy_prefs jsonb stores visibility + per-perm flags.,"Hydrates from profile on mount; persists on every flip.",Auto-saves
F-030,Avatar upload,Settings,FEATURE-NEEDED-SETTINGS-AVATAR-UPLOAD,P1,S,✅ Done 2026-04-27,Settings → Profil avatar tile,Wired. Storage bucket + RLS; native file picker; updates profiles.avatar_url with public URL.,"Upload to avatars/<user_id>/<timestamp>.<ext>. RLS enforces own-folder write. Crop UI is intentionally minimal.",Rich crop is a follow-up
F-031,Push notifications,Cross-cutting,FEATURE-NEEDED-PUSH-NOTIFICATIONS,P1,L,⏳ Not started,"Multiple features (auto-reply, nudges, referral credit)",Email reminders only,"PWA push via service worker; supabase fn web-push send; in-app feed; user prefs in F-028 (now exist)",Becomes P0 if any P0 above needs notifications
F-032,GDPR data export,Settings,FEATURE-NEEDED-DATA-EXPORT,P1,S,✅ Done 2026-04-27,"Settings → Privacy ""Stiahnuť moje dáta""",Wired. Netlify fn /export-user-data aggregates user-scoped tables to JSON download.,"Token-authenticated GET; rate-limited 1/24h via profiles.last_data_export_at; missing tables in env are skipped gracefully.",Legal requirement (EU)
F-033,Komunita server-side ranking,Komunita,FEATURE-NEEDED-KOMUNITA-RANKING,P2,S,⏳ Not started,"""Najviac rezonovalo dnes""",Client sorts posts by likes (works for small feeds),"DB view top_posts_today ordered by likes_today; hook reads from view",Works fine until feed grows past few hundred posts/day
F-034,Komunita post photos,Komunita,FEATURE-NEEDED-KOMUNITA-ATTACHMENTS,P2,M,⏳ Not started,Photo posts in feed,"community_posts has no photo_url; only seeded entries render photos","Add photo_url, photo_storage_path; bucket community-photos with RLS; composer upload + preview",Text posts work; photos add richness
F-035,Komunita follow,Komunita,FEATURE-NEEDED-KOMUNITA-FOLLOW,P2,M,⏳ Not started,"""Sledovať"" link on each post",Static affordance; click does nothing,"community_follows (follower_id, followee_id); useFollows + toggleFollow; stateful pill",Engagement nice-to-have
F-036,Komunita threaded replies,Komunita,FEATURE-NEEDED-KOMUNITA-REPLIES,P2,M,⏳ Not started,Post detail comments thread,Flat comments only,"community_comments.parent_id; recursive query; nested render with depth cap",Quality-of-life
F-037,Komunita tags / categories,Komunita,FEATURE-NEEDED-KOMUNITA-TAGS,P2,S,⏳ Not started,Composer tag selector and feed filter chips,Tags shown but not filterable / not enforced,"community_posts.tags text[]; index; feed filter param; chip UI in composer",Discoverability
F-038,Komunita error handling,Komunita,FEATURE-NEEDED-KOMUNITA-ERROR-HANDLING,P2,S,⏳ Not started,Submit / like / comment failures,Optimistic updates without rollback on failure,"Wrap mutations with toast on error; rollback optimistic state",Polish
F-039,Spravy peer-to-peer DMs,Spravy,FEATURE-NEEDED-SPRAVY-FRIEND-DMS,P2,XL,⏳ Not started,"Spravy inbox other threads (Lucia, Anna, Martina)",Inbox shows only user→Gabi thread,"friends; conversations; messages_p2p; inbox endpoint; friend search/invite; composer; moderation; push","P1 if social fitness is in brand promise — Gabi to decide"
F-040,Telo programs catalog,Telo,FEATURE-NEEDED-TELO-PROGRAMS-CATALOG,P2,M,🟡 Schema exists,Telo Programy list,"Existing public.programmes (20260416_programmes) covers schema; pages still render 4 hardcoded entries","Switch TeloPrograms to read from supabase.from('programmes'); hook usePrograms()",Schema ready; UI cutover pending
F-041,Telo exercises catalog,Telo,FEATURE-NEEDED-TELO-EXERCISES-CATALOG,P2,M,🟡 Schema exists,Cvičenia (extra) list,"Existing public.exercises (20260416_exercises) covers schema; pages still read static src/data/exercises.ts","Switch TeloExtra to read from supabase.from('exercises') where content_type='exercise'",Schema ready; UI cutover pending
F-042,Telo strečing catalog,Telo,FEATURE-NEEDED-TELO-STRECING-CATALOG,P2,M,🟡 Schema exists,Strečing list,Same schema as F-041 with content_type='stretch',"Switch TeloStrecing to read from supabase.from('exercises') where content_type='stretch'",Schema ready; UI cutover pending
F-043,Free Cyklus preview no-persist guard,Periodka,(BC-4; no marker),P2,S,⏳ Not started,Periodka Free view,Free view doesn't render dashboard at all (gated by isPremium && hasCycleSetup),"Only relevant if Free users get dashboard preview: banner ""Náhľad bez ukladania"" + write guard in useCycleData",Not blocking until product decision
F-044,Mealplan multi-week,Strava,FEATURE-NEEDED-MEALPLAN-MULTI-WEEK,P2,M,⏳ Not started,Jedálniček planner week navigator,Single-week view only,"meal_plans.week_start; navigation arrows; copy-from-last-week button",Power user feature
F-045,Recipe filters,Strava,FEATURE-NEEDED-RECEPTY-FILTERS,P2,S,⏳ Not started,Recepty page filter pills,Live filter against in-memory recipes data; missing dietary/time filters,"Add dietary_tags + prep_time to recipes; multi-select filter chips persist in URL",Discoverability
F-046,Recipe → meal plan,Strava,FEATURE-NEEDED-RECIPE-ADD-TO-PLAN,P2,S,⏳ Not started,RecipeDetail ""Pridať do plánu"" CTA,Button static,"useMealPlan.addRecipe(date, slot) mutation; date picker sheet from recipe page",Quality-of-life
F-047,Shopping list,Strava,FEATURE-NEEDED-SHOPPING-LIST,P2,M,⏳ Not started,Strava ""Nákupný zoznam"" derived from week's plan,Not implemented,"Derive list from meal_plans for current week; aggregate ingredients with quantities; manual add/check items",Adjacent to mealplan
F-048,User-generated referral codes,Profil,(new — auto + admin custom),P1,M,⏳ Not started,Referral page code display + admin influencer codes,Existing referral_codes table is generic; no Stripe Promotion Code provisioning yet,"Server auto-generates code per user (e.g. GABI-7K2X) on signup; admin endpoint for influencer custom codes with custom Coupon (% off / amount / duration / max_redemptions); stripe.promotionCodes.create per code; checkout reads ?ref= from URL → passes promotion_code; webhook on invoice.payment_succeeded credits referrer via points_ledger.",Stripe-flavored — stays on main
