, priamo do zmesi. Pečte v predhriatej rúre cca 60 min na 180 °C.
,
,INGREDIENCIE
,"5 dl mlieko polotučné 1,5 % (500 g)"
,2 x kus Cuketový koláč s marhuľami (200 g)
,
,NÁPOJE
,"5 dl mlieko polotučné 1,5 % (500 g)"
,
,INGREDIENCIE - Cuketový koláč s marhuľami
,1 x stredný kus cuketa (cukina) (1000 g)
,10 x čajová lyžička kokosová múka (30 g)
,4 dl mandľové mlieko (400 g)
,6 PL pohánkové vločky napr. Bioharmonie (66 g)
,5 ks slepačie vajce (275 g)
,3 PL kokosový cukor (45 g)
,1⁄2 PL šťava citrónová (6 g)
,10 x stredný kus marhule (600 g)
,
,
,
17.,Mrkva s jablkom a orechami
,5 min.
,Postup prípravy:
,"Mrkvu s jablkom nastrúhajte na jemno a pridajte med, ak uvádza recept.. Rozdrvte orechy a nachystajte do nádobky"
,na druhý deň.
,
,INGREDIENCIE
,2 ks jablká (340 g)
,11 ks orechy kešu (16.5 g)
,1 ks mrkva (85 g)
,
,
,
18.,"Smoothie (špenát, banán, mäta)"
,5 min.
,Postup prípravy:
,Ingrediencie spolu s trochou vody rozmixujte a vypite.
,
,INGREDIENCIE
,50 g konopný proteín
,1 a 1⁄2 ks banány (195 g)
,30 g špenát listový 
,1 PL čakankový sirup (18 g)
,Ďalšie ingrediencie:
,niekoľko lístkov mäty (ak na prísady nie ste alergická)
,
,
,
19.,Raw sladké guličky
,15 min.
,Postup prípravy:
,Guličky pripravte podľa receptu a konzumujte spolu s jogurtom.
,
,Postup prípravy - Raw sladké guličky:
,"Datle a marhule namočte do studenej vody cez noc. Na druhý deň vodu zlejte, premyte a následne pomeľte v mlynčeku na mäso "
,"alebo v kvalitnom mixéri. V prípade, že máte vysokootáčkový mixér, môžete pomlieť rovno aj s kešu orieškami. Formujte guličky, "
,ktoré obaľujte v pomletom bielom maku. Zo zmesi by vám malo vyjsť 25 guličiek.
,
,INGREDIENCIE
,3 a 1⁄2 x gulička Raw sladké guličky (52.5 g)
,"16 PL jogurt biely (max. 0,3 % tuku) (320 g)"
,
,INGREDIENCIE - Raw sladké guličky
,20 x kus bez kôstky datle sušené napr. Dr. Ensa (140 g)
,100 g sušené marhule
,66 ks orechy kešu (100 g)
,30 g mak biely
,
,
,
20.,Marhuľové smoothie
,5 min.
,Postup prípravy:
,Ingrediencie dajte do mixéra a pomixujte.
,
,INGREDIENCIE
,"5 PL tvaroh jemný hrudkovitý 2,5 % (85 g)"
,3 x stredný kus marhule (180 g)
,"2 dl mlieko polotučné 1,5 % (200 g)"
,1 ČL konopné semienka lúpané napr. Bio Nebio (3.5 g)
,1 ČL ľanové semená (3 g)
,
,
,
21.,Vajíčkové guľky s tvarohom
,20 min.
,Postup prípravy:
,Vajíčko uvarte natvrdo. Po vychladnutí oddeľte žĺtok od bielka. Bielok nastrúhajte na jemnom strúhadle. Pridajte
,"tvaroh, maslo (ideálne izbovej teploty) a prelisovaný cesnak. Zmes dochuťte soľou, čiernym mletým korením a"
,"najemno nasekanými bylinkami (podľa toho, ako uvádza recept). Do zmesi pridajte aj hrášok (alebo kukuricu, pokiaľ"
,ich máte v recepte uvedené). Zmes poriadne premiešajte a vytvárajte z nej guľky v požadovanej veľkosti. Tie
,"odložte na pár minút do chladničky a následne podávajte spolu s ľubovoľným množstvom listovej zeleniny, prípadne"
,"aj s pečivom a syrom (len v prípade, že tak uvádza recept)."
,
,INGREDIENCIE
,45 x g hrach
,1 x čajová lyžička živočíšne maslo (7 g)
,"20 g tvrdý syr 20 %, napr. Madeland"
,"1 a 1⁄2 PL tvaroh jemný hrudkovitý 2,5 % (25.5 g)"
,1 a 1⁄2 kus vaječný bielok (49.5 g)
,1⁄2 strúčik cesnak (1.5 g)
,Ďalšie ingrediencie:
,"soľ, mleté čierne korenie, bylinky, špenát, rukola, polníček , pažítka, petržlen, žerucha (ak na prísady nie ste"
,alergická)
,
,
,
22.,Jogurt s tvarohom a ovocím
,5 min.
,Postup prípravy:
,"Jednoduché jedlo pozostávajúce z orechov, jogurtu, tvarohu a ovocia. Orechy (semienka), v prípade, že sú uvedené v"
,"recepte, podrvte na malé kúsky a nasypte spolu s ovocím do misky s jogurtom a tvarohom. Na záver prisypte"
,"niekoľko goji, pomiešajte a konzumujte."
,
,INGREDIENCIE
,5 PL tvaroh tučný (85 g)
,1 a 1⁄2 x PL goji - kustovnica čínska (sušená) (18 g)
,3 PL jogurt biely živý napr. Tami (60 g)
,70 g mrazené maliny
,2 PL maliny (42 g)
,1⁄2 PL čakankový sirup (9 g)
,
,
,
23.,Pšenové guľky
,25 min.
,Postup prípravy:
,"Guľky pripravte podľa receptu nižšie. Zapite mliekom, pokiaľ máte uvedené."
,
,Postup prípravy - Pšenové guľky:
,"Pšeno prelejte 2x horúcou vodou. Nechajte odkvapkať a varte v mandľovom mlieku do mäkka až kašovita, za občasného premiešania."
," Nechajte vychladnúť. V mixéri vymixujte na kašu kustovnicu a datle. Dôkladne vmiešajte do pšena tak, aby sa zafarbilo a spojili sa "
,"ingrediencie. Pridajte škoricu, kurkumu, 2 lyžice kokosu, pistácie a miešajte. Musí vzniknúť hustá lepivá hmota. V miske so studenou"
," vodou si namočte občas prsty a vytvarujte menšie guľky s priemerom cca 3,5 cm. Obaľte v pistáciach alebo v strúhanom kokose."
,Uložte do košíkov a dajte na 2 hod do chladničky.
,
,INGREDIENCIE
,2 ks Pšenové guľky (80 g) 
,"3 dl mlieko polotučné 1,5 % (300 g)"
,
,NÁPOJE
,"3 dl mlieko polotučné 1,5 % (300 g)"
,
,INGREDIENCIE - Pšenové guľky
,150 g pšeno
,5 dl mandľové mlieko (500 g)
,70 g goji - kustovnica čínska (sušená)
,100 g strúhaný kokos
,80 g pistácie
,100 g datle sušené napr. Dr. Ensa
,Ďalšie ingrediencie:
,"kurkuma, škorica (v prípade, že na prísady nemáte alergiu)"
,
,
,
24.,Ovocné knedlíčky
,10 min.
,Postup prípravy:
,"Mandle, kokos a vanilku rozmixujte a nechajte stuhnúť v chladničke. Do cesta zabaľte ovocie s orechami. Polejte"
,medom. Pridajte jogurt alebo tvaroh.
,
,INGREDIENCIE
,"8 PL tvaroh jemný hrudkovitý 2,5 % (136 g)"
,3 a 1⁄2 ČL kokos mletý (17.5 g)
,10 ks mandle (10 g)
,70 g marhule
,1⁄2 PL med včelí (9 g)
,Ďalšie ingrediencie:
,vanilka (ak na prísady nie ste alergická)
,
,
,
25.,Mlieko s banánom
,5 min.
,Postup prípravy:
,"Mandle namočte cez noc. Na druhý deň dajte do mixéra a rozmixujte. Preceďte cez plátno, aby sa vylúčili šupky a"
,pevné časti.
,"Vzniknuté mlieko dajte opäť do mixéra, pridajte ostatné ingrediencie (v prípade potreby trochu vody) a rozmixujte na"
,koktail.
,
,INGREDIENCIE
,3 x PL vegánsky proteín napr. Weider brownie chocolate (30 g)
,12 ks mandle (12 g)
,1 menší kus banány (65 g)
,11 ks jahody záhradné (143 g)
,1⁄2 dl mandľové mlieko (50 g)
,
,
,
27.,Jogurt ovocný
,1 min.
,Postup prípravy:
,Jednoduché praktické jedlo v podobe ovocného jogurtu.
,
,INGREDIENCIE
,2 x balenie jogurt gazdovský čučoriedkový napr. Hollandia (360 g)
,
,
,
28.,Pomarančový koláč
,80 min.
,Postup prípravy:
,Recept pripravte podľa návodu uvedeného nižšie. Konzumujte predpísanú porciu.
,
,Postup prípravy - Pomarančový koláč:
,"Ošúpané pomaranče varte vo vode cca 35 minút. Keď sú mäkké, po zliatí vody nechajte vychladnúť. Potom rozmixujte spolu so stéviou. "
,"V druhej nádobe zmiešajte spolu rozpučené banány, vajcia a lieskovce. Postupne pridajte karob, sódu, mletý aj strúhaný zázvor"
, a spojte s pomarančovou zmesou. Cesto vlejte do kruhovej formy vystlanej papierom na pečenie a pečte pri teplote 170 °C cca 40 - 45 minút.
,
,INGREDIENCIE
,2 kus pomarančový koláč s karobom (180 g)
,
,INGREDIENCIE - Pomarančový koláč
,500 g pomaranče
,4 ks slepačie vajce (220 g)
,3 ks banány (390 g)
,220 ks orechy lieskové (220 g)
,110 g karob (rohovník obyčajný)
,Ďalšie ingrediencie:
,"30 g stévie, "
,"1 ČL jedlej sódy, "
,"1 ČL bezfosfátového prášku do pečiva,"
," 1 ČL mletý zázvor,"
,2 ČL strúhaný zázvor
,
,
,
29.,Acidko
,1 min.
,Postup prípravy:
,"Vypite acidofilné mlieko. Môže sa stať, že obal acidka je nafúknutý. Je to prirodzené, jedná sa o zdraviu prospešné"
,živé kultúry vnútri nápoja.
,
,INGREDIENCIE
,6 dl Rajo Lakto Free Acidko kyslomliečny nápoj biely 1% 450 g (600 g)
,
,
,
30.,Banánový puding s avokádom a karobom
,5 min.
,Postup prípravy:
,Do mixéra vložte ingrediencie a rozmixujte na puding. V prípade potreby pridajte trochu vody.
,
,INGREDIENCIE
,"8 a 1⁄2 PL tvaroh jemný hrudkovitý 2,5 % (144.5 g)"
,1 a 1⁄2 menší kus banány (97.5 g)
,40 g avokádo
,1⁄2 ČL karob (rohovník obyčajný) (4 g)
,
,
,
31.,Zeleninovo-ovocné smoothie
,10 min.
,Postup prípravy:
,"Všetky ingrediencie vložte do mixéra, pridajte vodu (podľa hustoty, ktorú obľubujete - radšej menej a neskôr"
,pridajte) a nakoniec rozmixujte.
,
,INGREDIENCIE
,1 ks banány (130 g)
,1 PL ľanový olej lisovaný za studena (12 g)
,2 ks mrkva (170 g)
,1 x malý kus červená repa (50 g)
,1 miska objem (300 ml) špenát listový (20 g)
,
,
,
32.,Zelenina s orechami
,2 min.
,Postup prípravy:
,"Zeleninu môžete deň vopred očistiť, nakrájať a uložiť v miske do chladničky."
,
,INGREDIENCIE
,2 ks kaleráb (540 g)
,18 ks orechy kešu (27 g)
,
,
,
33.,"Smoothie (jahoda, kakao)"
,5 min.
,Postup prípravy:
,Ingrediencie vhoďte do mixéra a na jemno rozmixujte.
,
,INGREDIENCIE
,2 a 1⁄2 x PL hrachový proteín - prášok (25 g)
,2 ČL kakaový prášok BIO (16 g)
,6 dl kokosový nápoj (600 g)
,10 ks jahody záhradné (130 g)
,2 ČL konopné semienka lúpané napr. Bio Nebio (7 g)
,1⁄2 PL čakankový sirup (9 g)
,
,
,
34.,Nutella z kešu orechov (kešutela)
,15 min.
,Postup prípravy:
,Nátierku z kešu orechov naneste na pečivo a konzumujte. Variant si môžete nachystať deň vopred a odložiť do nádoby.
,
,Postup prípravy - Nutella z kešu orechov (kešutela):
,"Ak máte doma kvalitný výkonný mixér môžete použiť nesolené, nepražené kvalitné kešu orechy a postupne ich zomlieť až na hustý krém. "
,"Mixér potrebuje mať pulznú technológiu a pomerne vysoký výkon, aby dokázal vyrobiť z orechov orechové maslo.Mandľové mlieko mierne"
, povarte na nízkom plameni spolu s vanilkovým strukom. 
,V miske zmiešajte kešu krém spolu s mandľovým mliekom a pridajte kakao. Doslaďte sirupom.
,
,INGREDIENCIE
,30 g Nutella z kešu orechov (kešutela) 
,2 dl mlieko polotučné (200 g)
,1⁄2 x krajec chlieb celozrnný ražný (ideálne kváskový) (25 g)
,
,NÁPOJE
,2 dl mlieko polotučné (200 g)
,
,INGREDIENCIE - Nutella z kešu orechov (kešutela)
,133 ks orechy kešu (200 g)
,1 dl mandľové mlieko (100 g)
,1 ČL kakaový prášok BIO (8 g)
,1 PL čakankový sirup (18 g)
,Ďalšie ingrediencie:
,vanilkový struk (ak na prísady nie ste alergická)
,
,
,
35.,Nepravá jablková štrúdľa
,30 min.
,Postup prípravy:
,"Štrúdľu pripravte podľa receptu zobrazeného nižšie. Uvedenú porciu konzumujte s jogurtom, pokiaľ tak recept uvádza."
,
,Postup prírpavy - Nepravá jablková štrúdľa:
,"Jablko umyte a nastrúhajte na hrubom strúhadle. Navrstvite ho na stred tortilly, posypte podľa chuti škoricou, cukrom a pridajte hrozienka"
," a tvaroh. Tortillu zabaľte, konce potrite roztopeným maslom a otočte potretou časťou dole. Vrch tortilly polejte ešte zvyšným maslom"
, a dajte piecť do vyhriatej trúby na 190 stupňov približne na 15 minút (kým nebude vrch tortilly jemne hnedastý).
,
,INGREDIENCIE
,1 x porcia Nepravá jablková štrúdľa (100 g) 
,6 a 1⁄2 PL jogurt biely napr. Rajo Active Protein (130 g)
,
,INGREDIENCIE - Nepravá jablková štrúdľa
,1 ks tortilla napr. Dijo fresh wraps pšeničná (63 g)
,1 x stredný kus jablká (140 g)
,"4 PL tvaroh jemný hrudkovitý 2,5 % (68 g)"
,1⁄2 PL hrozienka (11 g)
,1 PL živočíšne maslo (17 g)
,2 g škorica
,5 g trstinový cukor
,
,
,
36.,"Ovocie mierneho pásma s orechami, prípadne s jogurtom"
,5 min.
,Postup prípravy:
,"Ovocie si nakrájajte do misky (večer odložte do chladničky) a na olovrant skonzumujte. V prípade, že máte ako ovocie"
,"určené jablko, vyberajte si kyslejšie odrody."
,
,INGREDIENCIE
,"2 x balenie jogurt biely (min. 3,5 % tuku) (300 g)"
,1 ks broskyne (135 g)
,Ďalšie ingrediencie:
,podľa chuti pokvapkajte citrónovou šťavou (ak na prísady nie ste alergická)
,
,
,
37.,Batátové nepečené brownies
,60 min.
,Postup prípravy:
,"Brownies pripravte podľa receptu zobrazeného nižšie. Uvedenú porciu konzumujte s jogurtom, pokiaľ tak recept"
,uvádza.
,
,Postup prípravy - Batátové nepečené brownies:
,Batát umyte a poriadne poprepichujte vidličkou alebo nožom. Zabaľte do alobalu a dajte piecť do rúry na 200 stupňov 45 minút. 
,Opečený batát ošúpte a ešte teplý ho zmiešajte s nastrúhanou čokoládou a následne zamiešajte proteín (ideálne čokoládový). 
,"Cesto dajte do formy, z ktorej ho viete vyklopiť alebo ho následne viete v nej krájať. Formu dajte do mrazničky na 2 - 3 hodiny."
," Pred konzumáciou z mrazničky vyberte, nechajte postáť pri izbovej teplote a nakrájajte. Zvyšnú časť skladujte v mrazničke."
,
,INGREDIENCIE
,2 a 1⁄2 x porcia Batátové nepečené brownies (85 g) 
,6 a 1⁄2 PL jogurt bielkovinový napr. Skyr Pilos (130 g)
,
,INGREDIENCIE - Batátové nepečené brownies
,1 stredný kus bataty - sladké zemiaky (90 g)
,"6 x kocka (4×4,5 cm) čokoláda horká 75 % (60 g)"
,2 PL vegánsky proteín napr. Weider brownie
,chocolate (20 g)
,
,
,
38.,Jahodovo-banánová dreň s kešu
,5 min.
,Postup prípravy:
,"Do mixéra vložte zmrazené jahody, banán, kešu, pridajte trochu vody a rozmixujte."
,
,INGREDIENCIE
,18 ks orechy kešu (27 g)
,2 menší kus banány (130 g)
,8 x kus mrazené jahody (110 g)
,
,
,
39.,Jablkové palacinky s hrozienkami a karobom
,5 min.
,Postup prípravy:
,"Jablká postrúhajte nahrubo. Pridajte hrozienka a ľanové semienka. Primiešajte karob, goji, vločky. Vytvorte palacinky"
,a sušte v sušičke. Palacinky konzumujte s jogurtom/tvarohom (len ak je uvedený v recepte).
,
,INGREDIENCIE
,13 PL jogurt sójový biely BIO napr. SOJADE (260 g)
,1 ks jablká (170 g)
,1 PL ovsené vločky (11 g)
,2 a 1⁄2 x ČL goji - kustovnica čínska (sušená) (7.5 g)
,10 x kus hrozienka (5.5 g)
,1⁄2 ČL karob (rohovník obyčajný) (4 g)
,1⁄2 ČL ľanové semená (1.5 g)
,
,
,
40.,Syr so zeleninou
,5 min.
,Postup prípravy:
,"Syr a zeleninu ľubovoľne dochuťte bylinkami alebo balzamikom (podľa chuti), medvedím cesnakom (natrhajte)."
,
,INGREDIENCIE
,1 balenie cottage cheese biely (180 g)
,1 ks uhorky (300 g)
,2 ks rajčiny (150 g)
,1 ks paprika zeleninová (75 g)
,Ďalšie ingrediencie:
,"balzamiko - vínny ocot (ak máte radi), bylinky, korenie, kari, vňať, medvedí cesnak (ak na prísady nie ste alergická)"
,
,
,
41.,Kakaová raw tyčinka
,10 min.
,Postup prípravy:
,"Tyčinku pripravte podľa receptu uvedeného nižšie. Pokiaľ máte uvedené, zapíjajte mliekom."
,
,Postup prípravy - Kakaová raw tyčinka:
,Ponorným mixérom pomixujte každú ingredienciu zvlášť a dajte na pracovnú dosku. Následne všetko spolu mieste rukami ako cesto. 
,"Cesto zabaľte do potravinovej fólie, poriadne uhlaďte do požadovaného tvaru alebo do silikónovej formy. Následne dajte na minimálne"
, 3 hodiny do chladničky. Nakrájajte na požadované kúsky a skladujte v chladničke.
,
,INGREDIENCIE
,1 x kus Kakaová raw tyčinka (32 g)
,"3 dl mlieko polotučné 1,5 % (300 g)"
,
,INGREDIENCIE - Kakaová raw tyčinka
,110 g orechy vlašské
,180 g datle sušené napr. Dr. Ensa
,8 ČL kakaový prášok (64 g)
,3 ČL ľanové semená (9 g)
,2 PL vegánsky proteín napr. Weider brownie chocolate (20 g)
,
,
,
42.,Banánovo-jahodový nápoj
,5 min.
,Postup prípravy:
,Ovocie spolu s mliekom rozmixujte a nápoj vypite.
,
,INGREDIENCIE
,6 dl mlieko polotučné (600 g)
,1 stredný kus banány (90 g)
,70 g mrazené jahody
,Ďalšie ingrediencie:
,stévia (ak na prísady nie ste alergická)
,
,
,
43.,Banánový krém s mangom a kokosom
,5 min.
,Postup prírpavy:
,"Banány vložte do mixéra, pridajte mango a kokos, mixujte na kašu. Ak uvádza recept, pridajte tvaroh/jogurt."
,
,INGREDIENCIE
,"8 a 1⁄2 PL tvaroh jemný hrudkovitý 2,5 % (144.5 g)"
,3 a 1⁄2 ČL kokos mletý (17.5 g)
,1 menší kus banány (65 g)
,45 g mango
,
,
,
44.,"Pyré z manga, slnečnice a ľadového šalátu"
,5 min.
,Postup prípravy:
,"Mango, ľadový šalát a slnečnicové semienka rozmixujte na hustý krém, primiešajte jogurt a posypte rozdrvenými"
,mandľami (ak máte uvedené v recepte).
,
,INGREDIENCIE
,220 g mango
,4 ČL slnečnicové semená (16 g)
,6 a 1⁄2 PL jogurt sójový biely BIO napr. SOJADE (130 g)
,1⁄2 miska objem (300 ml) ľadový šalát (40 g)
